,文件名,水田,水浇地,旱耕地,园地,乔木林地,灌木林地,天然草地,人工草地,工业用地,城市住宅,村镇住宅,交通运输,河流,湖泊,坑塘,其他类别
0,GF2_PMS1__20151203_L1A0001217916-MSS1_label.tif,0,0,339502,0,0,0,0,0,3398353,29095384,0,1927456,2021337,0,0,12177968
1,GF2_PMS1__20160816_L1A0001765570-MSS1_label.tif,0,0,33502538,220550,0,0,309336,0,0,0,468769,0,158646,0,131053,14169108
2,GF2_PMS2__20160225_L1A0001433318-MSS2_label.tif,0,17716165,0,2200101,1524774,637560,108888,0,0,0,342589,56841,1153169,0,0,25219913
3,GF2_PMS2__20150217_L1A0000658637-MSS2_label.tif,5808047,18584624,0,0,712856,0,0,0,841383,1686936,446273,125874,1556495,0,809732,18387780
4,GF2_PMS1__20160327_L1A0001491417-MSS1_label.tif,0,0,15966944,52942,0,321294,0,0,167677,832924,2037037,92793,0,4183973,7673,25296743
5,GF2_PMS1__20160421_L1A0001537716-MSS1_label.tif,0,0,4773505,0,0,0,0,0,2010493,14604316,0,879472,1200904,0,126612,25364698
6,GF2_PMS1__20150212_L1A0000647768-MSS1_label.tif,0,18265036,0,747255,2058947,0,0,0,520447,423890,1533311,54841,638259,3203666,396416,21117932
7,GF2_PMS1__20160827_L1A0001793003-MSS1_label.tif,0,0,489602,1512305,0,248629,0,2287158,967518,16554992,3437632,1318825,366668,0,346261,21430410
8,GF2_PMS2__20160510_L1A0001573999-MSS2_label.tif,0,0,0,0,0,0,12626444,0,0,0,0,0,0,0,0,36333556
9,GF2_PMS1__20150902_L1A0001015649-MSS1_label.tif,13329677,23130576,0,0,0,0,0,0,0,99350,242811,0,438056,0,2310230,9409300
